Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
27,"[('high_cholesterol', 'HasCholesterolLevel'), ('breakfast', 'isForMealType'), ('cinnamon', 'contains')]",16,5,0.3125,84,5,0.05952380952380952,16,1,0.0625,0.09999999999999999
28,"[('high_sodium', 'HasSodiumLevel'), ('vegetarian', 'hasDietType'), ('butter', 'contains')]",108,10,0.09259259259259259,84,10,0.11904761904761904,108,10,0.09259259259259259,0.10416666666666667
29,"[('high_fiber', 'HasFiberLevel'), ('lunch', 'isForMealType'), ('pepper', 'contains')]",104,13,0.125,84,13,0.15476190476190477,104,14,0.1346153846153846,0.13829787234042554
30,"[('low_carb', 'HasCarbLevel'), ('europe', 'isFromRegion'), ('butter', 'contains')]",208,16,0.07692307692307693,84,16,0.19047619047619047,208,36,0.17307692307692307,0.10958904109589042
31,"[('high_fat', 'HasFatLevel'), ('dinner', 'isForMealType'), ('cinnamon', 'contains')]",30,1,0.03333333333333333,84,1,0.011904761904761904,30,0,0.0,0.017543859649122806
32,"[('low_sodium', 'HasSodiumLevel'), ('vegetarian', 'hasDietType'), ('less_than_60_mins', 'needTimeToCook')]",167,7,0.041916167664670656,84,7,0.08333333333333333,167,12,0.0718562874251497,0.055776892430278883
33,"[('low_carb', 'HasCarbLevel'), ('medium_fiber', 'HasFiberLevel'), ('honey', 'contains')]",27,1,0.037037037037037035,84,1,0.011904761904761904,27,0,0.0,0.018018018018018018
34,"[('high_carb', 'HasCarbLevel'), ('high_fat', 'HasFatLevel'), ('north_america', 'isFromRegion')]",57,13,0.22807017543859648,84,13,0.15476190476190477,57,10,0.17543859649122806,0.18439716312056736
35,"[('medium_sugar', 'HasSugarLevel'), ('dessert', 'isForMealType'), ('cinnamon', 'contains')]",30,6,0.2,84,6,0.07142857142857142,30,1,0.03333333333333333,0.10526315789473682
36,"[('high_carb', 'HasCarbLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel')]",43,0,0.0,84,0,0.0,43,0,0.0,0.0
37,"[('medium_sugar', 'HasSugarLevel'), ('medium_cholesterol', 'HasCholesterolLevel'), ('middle_east', 'isFromRegion')]",13,2,0.15384615384615385,84,2,0.023809523809523808,13,0,0.0,0.041237113402061855
38,"[('low_sodium', 'HasSodiumLevel'), ('asia', 'isFromRegion'), ('olive_oil', 'contains')]",25,0,0.0,84,0,0.0,25,0,0.0,0.0
39,"[('medium_fiber', 'HasFiberLevel'), ('medium_calorie', 'HasCalorieLevel'), ('milk', 'contains')]",86,1,0.011627906976744186,84,1,0.011904761904761904,86,1,0.011627906976744186,0.011764705882352941
40,"[('medium_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('less_than_60_mins', 'needTimeToCook')]",82,2,0.024390243902439025,84,2,0.023809523809523808,82,2,0.024390243902439025,0.024096385542168676
41,"[('high_calorie', 'HasCalorieLevel'), ('brunch', 'isForMealType'), ('flour', 'contains')]",10,4,0.4,84,4,0.047619047619047616,10,0,0.0,0.0851063829787234
42,"[('drink', 'isForMealType'), ('less_than_60_mins', 'needTimeToCook'), ('pepper', 'contains')]",4,0,0.0,84,0,0.0,4,0,0.0,0.0
43,"[('medium_carb', 'HasCarbLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('cinnamon', 'contains')]",53,2,0.03773584905660377,84,2,0.023809523809523808,53,1,0.018867924528301886,0.029197080291970802
44,"[('medium_sugar', 'HasSugarLevel'), ('breakfast', 'isForMealType'), ('chicken_egg', 'contains')]",33,3,0.09090909090909091,84,3,0.03571428571428571,33,2,0.06060606060606061,0.05128205128205127
45,"[('medium_protein', 'HasProteinLevel'), ('europe', 'isFromRegion'), ('baking_powder', 'contains')]",12,3,0.25,84,3,0.03571428571428571,12,1,0.08333333333333333,0.0625
46,"[('vegetarian', 'hasDietType'), ('less_than_4_hours', 'needTimeToCook'), ('honey', 'contains')]",35,5,0.14285714285714285,84,5,0.05952380952380952,35,4,0.11428571428571428,0.08403361344537814
47,"[('high_fiber', 'HasFiberLevel'), ('global', 'isFromRegion'), ('chicken_egg', 'contains')]",7,0,0.0,84,0,0.0,7,0,0.0,0.0
48,"[('medium_sugar', 'HasSugarLevel'), ('medium_cholesterol', 'HasCholesterolLevel'), ('flour', 'contains')]",82,3,0.036585365853658534,84,3,0.03571428571428571,82,3,0.036585365853658534,0.03614457831325302
49,"[('low_fat', 'HasFatLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('europe', 'isFromRegion')]",10,0,0.0,84,0,0.0,10,0,0.0,0.0
50,"[('low_protein', 'HasProteinLevel'), ('vegetarian', 'hasDietType'), ('tomato', 'contains')]",94,14,0.14893617021276595,84,14,0.16666666666666666,94,19,0.20212765957446807,0.15730337078651685
51,"[('high_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('brown_sugar', 'contains')]",11,0,0.0,84,0,0.0,11,0,0.0,0.0
53,"[('low_fiber', 'HasFiberLevel'), ('europe', 'isFromRegion'), ('red_onion', 'contains')]",34,2,0.058823529411764705,84,2,0.023809523809523808,34,1,0.029411764705882353,0.033898305084745756
54,"[('medium_protein', 'HasProteinLevel'), ('africa', 'isFromRegion'), ('salt_product', 'contains')]",45,17,0.37777777777777777,84,17,0.20238095238095238,45,15,0.3333333333333333,0.26356589147286824
55,"[('low_fat', 'HasFatLevel'), ('less_than_60_mins', 'needTimeToCook'), ('lemon_juice', 'contains')]",46,6,0.13043478260869565,84,6,0.07142857142857142,46,4,0.08695652173913043,0.0923076923076923
56,"[('low_carb', 'HasCarbLevel'), ('high_fiber', 'HasFiberLevel'), ('less_than_15_mins', 'needTimeToCook')]",9,0,0.0,84,0,0.0,9,0,0.0,0.0
58,"[('high_fiber', 'HasFiberLevel'), ('dinner', 'isForMealType'), ('garlic_clove', 'contains')]",69,4,0.057971014492753624,84,4,0.047619047619047616,69,3,0.043478260869565216,0.05228758169934641
59,"[('low_calorie', 'HasCalorieLevel'), ('dinner', 'isForMealType'), ('lemon_juice', 'contains')]",27,2,0.07407407407407407,84,2,0.023809523809523808,27,1,0.037037037037037035,0.036036036036036036
60,"[('low_sugar', 'HasSugarLevel'), ('low_calorie', 'HasCalorieLevel'), ('latin_america_and_caribbean', 'isFromRegion')]",95,12,0.12631578947368421,84,12,0.14285714285714285,95,13,0.1368421052631579,0.1340782122905028
61,"[('low_carb', 'HasCarbLevel'), ('less_than_30_mins', 'needTimeToCook'), ('red_onion', 'contains')]",63,2,0.031746031746031744,84,2,0.023809523809523808,63,1,0.015873015873015872,0.027210884353741496
63,"[('high_sodium', 'HasSodiumLevel'), ('less_than_30_mins', 'needTimeToCook'), ('onion', 'contains')]",87,1,0.011494252873563218,84,1,0.011904761904761904,87,1,0.011494252873563218,0.011695906432748536
64,"[('high_fat', 'HasFatLevel'), ('drink', 'isForMealType'), ('less_than_30_mins', 'needTimeToCook')]",3,0,0.0,84,0,0.0,3,0,0.0,0.0
65,"[('high_fiber', 'HasFiberLevel'), ('dinner', 'isForMealType'), ('vegetarian', 'hasDietType')]",26,4,0.15384615384615385,84,4,0.047619047619047616,26,2,0.07692307692307693,0.07272727272727272
66,"[('medium_protein', 'HasProteinLevel'), ('paleo', 'hasDietType'), ('pepper', 'contains')]",20,5,0.25,84,5,0.05952380952380952,20,0,0.0,0.09615384615384615
67,"[('medium_fat', 'HasFatLevel'), ('medium_fiber', 'HasFiberLevel'), ('latin_america_and_caribbean', 'isFromRegion')]",28,7,0.25,84,7,0.08333333333333333,28,3,0.10714285714285714,0.125
68,"[('starter', 'isForMealType'), ('more_than_6_hours', 'needTimeToCook'), ('red_onion', 'contains')]",5,1,0.2,84,1,0.011904761904761904,5,0,0.0,0.02247191011235955
70,"[('low_carb', 'HasCarbLevel'), ('more_than_6_hours', 'needTimeToCook'), ('olive_oil', 'contains')]",79,7,0.08860759493670886,84,7,0.08333333333333333,79,7,0.08860759493670886,0.08588957055214723
71,"[('high_calorie', 'HasCalorieLevel'), ('vegan', 'hasDietType'), ('less_than_60_mins', 'needTimeToCook')]",15,0,0.0,84,0,0.0,15,0,0.0,0.0
72,"[('medium_sugar', 'HasSugarLevel'), ('snack', 'isForMealType'), ('chicken_egg', 'contains')]",14,3,0.21428571428571427,84,3,0.03571428571428571,14,0,0.0,0.06122448979591836
73,"[('high_fiber', 'HasFiberLevel'), ('starter', 'isForMealType'), ('europe', 'isFromRegion')]",14,0,0.0,84,0,0.0,14,0,0.0,0.0
74,"[('standard', 'hasDietType'), ('less_than_6_hours', 'needTimeToCook'), ('salt_product', 'contains')]",61,3,0.04918032786885246,84,3,0.03571428571428571,61,3,0.04918032786885246,0.041379310344827586
75,"[('low_fat', 'HasFatLevel'), ('vegetarian', 'hasDietType'), ('lemon_juice', 'contains')]",47,11,0.23404255319148937,84,11,0.13095238095238096,47,6,0.1276595744680851,0.16793893129770995
76,"[('medium_sodium', 'HasSodiumLevel'), ('starter', 'isForMealType'), ('asia', 'isFromRegion')]",73,14,0.1917808219178082,84,14,0.16666666666666666,73,13,0.1780821917808219,0.178343949044586
77,"[('medium_protein', 'HasProteinLevel'), ('starter', 'isForMealType'), ('global', 'isFromRegion')]",27,0,0.0,84,0,0.0,27,0,0.0,0.0
78,"[('medium_fat', 'HasFatLevel'), ('middle_east', 'isFromRegion'), ('flour', 'contains')]",30,9,0.3,84,9,0.10714285714285714,30,4,0.13333333333333333,0.15789473684210525
79,"[('high_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel'), ('garlic_clove', 'contains')]",300,14,0.04666666666666667,84,14,0.16666666666666666,300,41,0.13666666666666666,0.07291666666666667
80,"[('medium_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel'), ('dessert', 'isForMealType')]",203,21,0.10344827586206896,84,21,0.25,203,44,0.21674876847290642,0.14634146341463414
81,"[('medium_sugar', 'HasSugarLevel'), ('less_than_60_mins', 'needTimeToCook'), ('cinnamon', 'contains')]",42,3,0.07142857142857142,84,3,0.03571428571428571,42,1,0.023809523809523808,0.047619047619047616
82,"[('low_fiber', 'HasFiberLevel'), ('snack', 'isForMealType'), ('north_america', 'isFromRegion')]",171,29,0.17058823529411765,84,29,0.34523809523809523,171,46,0.26900584795321636,0.2283464566929134
83,"[('high_protein', 'HasProteinLevel'), ('brunch', 'isForMealType'), ('salt_product', 'contains')]",76,5,0.06578947368421052,84,5,0.05952380952380952,76,5,0.06578947368421052,0.0625
84,"[('low_fat', 'HasFatLevel'), ('dessert', 'isForMealType'), ('brown_sugar', 'contains')]",50,1,0.02,84,1,0.011904761904761904,50,1,0.02,0.014925373134328356
85,"[('latin_america_and_caribbean', 'isFromRegion'), ('less_than_60_mins', 'needTimeToCook'), ('lemon_juice', 'contains')]",5,2,0.4,84,2,0.023809523809523808,5,0,0.0,0.0449438202247191
86,"[('high_sodium', 'HasSodiumLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('chicken_egg', 'contains')]",205,2,0.00975609756097561,84,2,0.023809523809523808,205,14,0.06829268292682927,0.01384083044982699
87,"[('medium_fat', 'HasFatLevel'), ('dinner', 'isForMealType'), ('salt_product', 'contains')]",167,3,0.017964071856287425,84,3,0.03571428571428571,167,6,0.03592814371257485,0.023904382470119518
88,"[('lunch', 'isForMealType'), ('africa', 'isFromRegion'), ('less_than_6_hours', 'needTimeToCook')]",5,1,0.2,84,1,0.011904761904761904,5,0,0.0,0.02247191011235955
89,"[('medium_sugar', 'HasSugarLevel'), ('middle_east', 'isFromRegion'), ('pepper', 'contains')]",30,4,0.13333333333333333,84,4,0.047619047619047616,30,0,0.0,0.07017543859649122
90,"[('high_calorie', 'HasCalorieLevel'), ('dessert', 'isForMealType'), ('butter', 'contains')]",40,6,0.15,84,6,0.07142857142857142,40,3,0.075,0.09677419354838708
91,"[('medium_carb', 'HasCarbLevel'), ('starter', 'isForMealType'), ('tomato', 'contains')]",33,4,0.12121212121212122,84,4,0.047619047619047616,33,1,0.030303030303030304,0.06837606837606837
92,"[('medium_fiber', 'HasFiberLevel'), ('high_calorie', 'HasCalorieLevel'), ('baking_powder', 'contains')]",8,1,0.125,84,1,0.011904761904761904,8,0,0.0,0.021739130434782605
93,"[('low_carb', 'HasCarbLevel'), ('snack', 'isForMealType'), ('salt_product', 'contains')]",217,23,0.10599078341013825,84,23,0.27380952380952384,217,56,0.25806451612903225,0.15282392026578073
94,"[('low_fiber', 'HasFiberLevel'), ('low_sugar', 'HasSugarLevel'), ('drink', 'isForMealType')]",105,13,0.12380952380952381,84,13,0.15476190476190477,105,16,0.1523809523809524,0.1375661375661376
96,"[('vegan', 'hasDietType'), ('middle_east', 'isFromRegion'), ('less_than_30_mins', 'needTimeToCook')]",26,10,0.38461538461538464,84,10,0.11904761904761904,26,5,0.19230769230769232,0.18181818181818182
97,"[('medium_fiber', 'HasFiberLevel'), ('medium_calorie', 'HasCalorieLevel'), ('more_than_6_hours', 'needTimeToCook')]",62,0,0.0,84,0,0.0,62,0,0.0,0.0
99,"[('low_sugar', 'HasSugarLevel'), ('less_than_15_mins', 'needTimeToCook'), ('garlic_clove', 'contains')]",155,9,0.05806451612903226,84,9,0.10714285714285714,155,12,0.07741935483870968,0.07531380753138076
100,"[('medium_sugar', 'HasSugarLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('butter', 'contains')]",51,1,0.0196078431372549,84,1,0.011904761904761904,51,1,0.0196078431372549,0.014814814814814814
101,"[('high_fat', 'HasFatLevel'), ('paleo', 'hasDietType'), ('less_than_6_hours', 'needTimeToCook')]",26,8,0.3076923076923077,84,8,0.09523809523809523,26,1,0.038461538461538464,0.14545454545454545
102,"[('high_carb', 'HasCarbLevel'), ('snack', 'isForMealType'), ('more_than_6_hours', 'needTimeToCook')]",10,0,0.0,84,0,0.0,10,0,0.0,0.0
103,"[('dinner', 'isForMealType'), ('europe', 'isFromRegion'), ('flour', 'contains')]",33,2,0.06060606060606061,84,2,0.023809523809523808,33,1,0.030303030303030304,0.034188034188034185
105,"[('high_carb', 'HasCarbLevel'), ('low_fat', 'HasFatLevel'), ('starter', 'isForMealType')]",9,0,0.0,84,0,0.0,9,0,0.0,0.0
106,"[('medium_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel'), ('dessert', 'isForMealType')]",119,7,0.058823529411764705,84,7,0.08333333333333333,119,7,0.058823529411764705,0.06896551724137931
107,"[('low_carb', 'HasCarbLevel'), ('medium_sodium', 'HasSodiumLevel'), ('lemon_juice', 'contains')]",161,9,0.055900621118012424,84,9,0.10714285714285714,161,17,0.10559006211180125,0.07346938775510203
108,"[('low_carb', 'HasCarbLevel'), ('oceania', 'isFromRegion'), ('less_than_30_mins', 'needTimeToCook')]",75,2,0.02666666666666667,84,2,0.023809523809523808,75,2,0.02666666666666667,0.025157232704402514
111,"[('medium_protein', 'HasProteinLevel'), ('starter', 'isForMealType'), ('olive_oil', 'contains')]",51,5,0.09803921568627451,84,5,0.05952380952380952,51,4,0.0784313725490196,0.07407407407407407
112,"[('high_sugar', 'HasSugarLevel'), ('standard', 'hasDietType'), ('oceania', 'isFromRegion')]",49,5,0.10204081632653061,84,5,0.05952380952380952,49,5,0.10204081632653061,0.07518796992481201
113,"[('high_sugar', 'HasSugarLevel'), ('dinner', 'isForMealType'), ('butter', 'contains')]",23,0,0.0,84,0,0.0,23,0,0.0,0.0
114,"[('high_calorie', 'HasCalorieLevel'), ('middle_east', 'isFromRegion'), ('less_than_30_mins', 'needTimeToCook')]",9,0,0.0,84,0,0.0,9,0,0.0,0.0
115,"[('snack', 'isForMealType'), ('less_than_15_mins', 'needTimeToCook'), ('onion', 'contains')]",13,0,0.0,84,0,0.0,13,0,0.0,0.0
116,"[('medium_fiber', 'HasFiberLevel'), ('medium_sugar', 'HasSugarLevel'), ('butter', 'contains')]",55,1,0.01818181818181818,84,1,0.011904761904761904,55,1,0.01818181818181818,0.014388489208633093
117,"[('vegan', 'hasDietType'), ('less_than_30_mins', 'needTimeToCook'), ('cinnamon', 'contains')]",54,5,0.09259259259259259,84,5,0.05952380952380952,54,4,0.07407407407407407,0.07246376811594203
118,"[('medium_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel'), ('lunch', 'isForMealType')]",28,0,0.0,84,0,0.0,28,0,0.0,0.0
119,"[('low_carb', 'HasCarbLevel'), ('medium_sugar', 'HasSugarLevel'), ('north_america', 'isFromRegion')]",192,9,0.046875,84,9,0.10714285714285714,192,23,0.11979166666666667,0.06521739130434781
123,"[('high_carb', 'HasCarbLevel'), ('medium_sodium', 'HasSodiumLevel'), ('baking_powder', 'contains')]",24,1,0.041666666666666664,84,1,0.011904761904761904,24,1,0.041666666666666664,0.018518518518518517
124,"[('high_fiber', 'HasFiberLevel'), ('asia', 'isFromRegion'), ('olive_oil', 'contains')]",18,3,0.16666666666666666,84,3,0.03571428571428571,18,1,0.05555555555555555,0.058823529411764705
125,"[('low_cholesterol', 'HasCholesterolLevel'), ('latin_america_and_caribbean', 'isFromRegion'), ('salt_product', 'contains')]",72,19,0.2638888888888889,84,19,0.2261904761904762,72,17,0.2361111111111111,0.24358974358974356
126,"[('medium_carb', 'HasCarbLevel'), ('middle_east', 'isFromRegion'), ('sugar', 'contains')]",32,4,0.125,84,4,0.047619047619047616,32,3,0.09375,0.06896551724137931
127,"[('low_calorie', 'HasCalorieLevel'), ('snack', 'isForMealType'), ('milk', 'contains')]",79,8,0.10126582278481013,84,8,0.09523809523809523,79,8,0.10126582278481013,0.09815950920245399
128,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel'), ('dinner', 'isForMealType')]",458,6,0.01312910284463895,84,6,0.07142857142857142,458,17,0.03711790393013101,0.022181146025878003
129,"[('low_fiber', 'HasFiberLevel'), ('low_calorie', 'HasCalorieLevel'), ('red_onion', 'contains')]",172,5,0.029069767441860465,84,5,0.05952380952380952,172,9,0.05232558139534884,0.0390625
130,"[('snack', 'isForMealType'), ('oceania', 'isFromRegion'), ('less_than_30_mins', 'needTimeToCook')]",19,1,0.05263157894736842,84,1,0.011904761904761904,19,1,0.05263157894736842,0.019417475728155338
131,"[('medium_fat', 'HasFatLevel'), ('medium_sodium', 'HasSodiumLevel'), ('europe', 'isFromRegion')]",239,14,0.058577405857740586,84,14,0.16666666666666666,239,30,0.12552301255230125,0.08668730650154798
132,"[('lunch', 'isForMealType'), ('latin_america_and_caribbean', 'isFromRegion'), ('sugar', 'contains')]",7,3,0.42857142857142855,84,3,0.03571428571428571,7,0,0.0,0.06593406593406594
133,"[('high_carb', 'HasCarbLevel'), ('low_sodium', 'HasSodiumLevel'), ('dessert', 'isForMealType')]",49,3,0.061224489795918366,84,3,0.03571428571428571,49,2,0.04081632653061224,0.045112781954887216
134,"[('medium_fiber', 'HasFiberLevel'), ('less_than_6_hours', 'needTimeToCook'), ('lemon_juice', 'contains')]",4,0,0.0,84,0,0.0,4,0,0.0,0.0
136,"[('medium_fat', 'HasFatLevel'), ('medium_calorie', 'HasCalorieLevel'), ('africa', 'isFromRegion')]",81,24,0.2962962962962963,84,24,0.2857142857142857,81,24,0.2962962962962963,0.2909090909090909
137,"[('africa', 'isFromRegion'), ('less_than_60_mins', 'needTimeToCook'), ('brown_sugar', 'contains')]",7,4,0.5714285714285714,84,4,0.047619047619047616,7,1,0.14285714285714285,0.08791208791208789
138,"[('low_sugar', 'HasSugarLevel'), ('lunch', 'isForMealType'), ('less_than_60_mins', 'needTimeToCook')]",168,3,0.017857142857142856,84,3,0.03571428571428571,168,3,0.017857142857142856,0.023809523809523808
139,"[('high_carb', 'HasCarbLevel'), ('africa', 'isFromRegion'), ('chicken_egg', 'contains')]",3,0,0.0,84,0,0.0,3,0,0.0,0.0
140,"[('paleo', 'hasDietType'), ('global', 'isFromRegion'), ('less_than_4_hours', 'needTimeToCook')]",11,7,0.6363636363636364,84,7,0.08333333333333333,11,1,0.09090909090909091,0.14736842105263157
142,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel'), ('medium_fiber', 'HasFiberLevel')]",132,0,0.0,84,0,0.0,132,0,0.0,0.0
143,"[('medium_sodium', 'HasSodiumLevel'), ('dessert', 'isForMealType'), ('global', 'isFromRegion')]",75,7,0.09333333333333334,84,7,0.08333333333333333,75,7,0.09333333333333334,0.0880503144654088
144,"[('breakfast', 'isForMealType'), ('vegan', 'hasDietType'), ('red_onion', 'contains')]",1,0,0.0,84,0,0.0,1,0,0.0,0.0
145,"[('medium_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel'), ('snack', 'isForMealType')]",14,0,0.0,84,0,0.0,14,0,0.0,0.0
146,"[('high_carb', 'HasCarbLevel'), ('high_sodium', 'HasSodiumLevel'), ('cinnamon', 'contains')]",16,0,0.0,84,0,0.0,16,0,0.0,0.0
147,"[('high_sugar', 'HasSugarLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('brown_sugar', 'contains')]",79,5,0.06329113924050633,84,5,0.05952380952380952,79,5,0.06329113924050633,0.06134969325153374
148,"[('high_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel'), ('red_onion', 'contains')]",82,0,0.0,84,0,0.0,82,0,0.0,0.0
149,"[('low_fiber', 'HasFiberLevel'), ('low_sodium', 'HasSodiumLevel'), ('starter', 'isForMealType')]",359,12,0.033426183844011144,84,12,0.14285714285714285,359,27,0.07520891364902507,0.054176072234762986
150,"[('low_protein', 'HasProteinLevel'), ('drink', 'isForMealType'), ('less_than_15_mins', 'needTimeToCook')]",105,14,0.13333333333333333,84,14,0.16666666666666666,105,14,0.13333333333333333,0.14814814814814814
153,"[('medium_protein', 'HasProteinLevel'), ('europe', 'isFromRegion'), ('brown_sugar', 'contains')]",11,1,0.09090909090909091,84,1,0.011904761904761904,11,0,0.0,0.021052631578947368
154,"[('medium_protein', 'HasProteinLevel'), ('less_than_4_hours', 'needTimeToCook'), ('flour', 'contains')]",116,10,0.08620689655172414,84,10,0.11904761904761904,116,12,0.10344827586206896,0.09999999999999999
155,"[('dinner', 'isForMealType'), ('vegan', 'hasDietType'), ('less_than_6_hours', 'needTimeToCook')]",15,4,0.26666666666666666,84,4,0.047619047619047616,15,2,0.13333333333333333,0.0808080808080808
156,"[('high_protein', 'HasProteinLevel'), ('paleo', 'hasDietType'), ('less_than_30_mins', 'needTimeToCook')]",70,16,0.22857142857142856,84,16,0.19047619047619047,70,16,0.22857142857142856,0.2077922077922078
157,"[('starter', 'isForMealType'), ('less_than_15_mins', 'needTimeToCook'), ('sugar', 'contains')]",37,1,0.02702702702702703,84,1,0.011904761904761904,37,0,0.0,0.01652892561983471
158,"[('high_carb', 'HasCarbLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('red_onion', 'contains')]",10,0,0.0,84,0,0.0,10,0,0.0,0.0
159,"[('high_carb', 'HasCarbLevel'), ('medium_calorie', 'HasCalorieLevel'), ('oceania', 'isFromRegion')]",26,4,0.15384615384615385,84,4,0.047619047619047616,26,3,0.11538461538461539,0.07272727272727272
